Tract Number,Mean Age,Latitude,Longitude,GEOID
120103,29.7,34.21209,-118.3921495,1400000US06037121801
120104,35.7,34.219592,-118.39214,1400000US06037121802
120105,38.9,34.2176405,-118.3816355,1400000US06037121900
120106,30.1,34.2171585,-118.4183795,1400000US06037122000
120107,26.6,34.21116,-118.371144,1400000US06037122120
120108,35.6,34.2138845,-118.3714175,1400000US06037122121
1203,38.7,34.220949,-118.3717735,1400000US06037122122
1204,35.7,34.214391,-118.3596165,1400000US06037122200
121010,36.7,34.204063,-118.3921485,1400000US06037122410
121020,35.1,34.203194,-118.3834125,1400000US06037122420
121101,36.9,34.202326,-118.374682,1400000US06037123010
121102,45.4,34.2048255,-118.366247,1400000US06037123020
121210,43.1,34.1906295,-118.365029,1400000US06037123103
121221,35.5,34.183057,-118.364585,1400000US06037123104
121222,30.2,34.195833,-118.392147,1400000US06037123203
1216,42.3,34.193936,-118.39433,1400000US06037123204
121801,33.6,34.194979,-118.383413,1400000US06037123205
121802,36.8,34.1941185,-118.3746795,1400000US06037123206
1219,34.5,34.199392,-118.401141,1400000US06037123301
1220,39.7,34.1975515,-118.411425,1400000US06037123303
122120,35.2,34.19712,-118.4056305,1400000US06037123304
122121,34,34.197565,-118.4224435,1400000US06037123410
122122,30.7,34.1939335,-118.418128,1400000US06037123420
1222,36.8,34.195752,-118.4268885,1400000US06037123510
122410,32.8,34.190302,-118.4244185,1400000US06037123520
122420,34.6,34.177484,-118.417834,1400000US06037123601
123010,32.8,34.1794765,-118.42688,1400000US06037123602
123020,37.9,34.184859,-118.409517,1400000US06037123700
123103,37.5,34.181224,-118.400846,1400000US06037123800
123104,38.9,34.1848585,-118.394806,1400000US06037123901
123203,30,34.176766,-118.3921365,1400000US06037123902
123204,32.6,34.162959,-118.4048165,1400000US06037124000
123205,33.5,34.175783,-118.383398,1400000US06037124102
123206,34.9,34.1884915,-118.3834125,1400000US06037124103
123301,36.5,34.1848615,-118.383409,1400000US06037124104
123303,37.2,34.181229,-118.383405,1400000US06037124105
123304,46.2,34.1848665,-118.374674,1400000US06037124201
123410,34.5,34.177602,-118.3746645,1400000US06037124203
123420,35.6,34.1739735,-118.3746565,1400000US06037124204
